sig3,eps1,sig1,eps3
0,0.0000125,12.24079,-0.0001022
0,0.0002582,16.44513,-0.0001404
0,0.0003565,24.30543,-0.0002169
0,0.0004711,21.10647,-0.0002169
0,0.0005285,37.46686,-0.0002742
0,0.0005531,34.1765,-0.0002742
0,0.0006432,30.88615,-0.0002742
0,0.0007464,27.59579,-0.0002742
0,0.0009553,53.18746,-0.0003698
0,0.0010904,49.25731,-0.0003889
0,0.0012411,45.96695,-0.0003889
0,0.0013312,42.67659,-0.0003889
0,0.0013885,68.45106,-0.0005036
0,0.0014803,65.16071,-0.0005036
0,0.0015605,61.87035,-0.0005036
0,0.0016179,58.30579,-0.0005227
0,0.001637,72.10702,-0.0005609
0,0.0016752,76.40276,-0.0007329
0,0.00186,80.24151,-0.0007616
0,0.0020536,84.49156,-0.0009049
0,0.00226,89.83839,-0.0011343
0,0.0025582,94.04273,-0.0014018
0,0.0026499,96.6933,-0.001593
0,0.0028793,100.07506,-0.001937
0,0.0031315,103.45681,-0.002453
0,0.0036246,104.4165,-0.003141
0,0.0043127,104.87349,-0.0038291
0,0.0048287,104.91919,-0.0045171
0,0.0050963,104.645,-0.0052051
0,0.0052874,104.3708,-0.0058932
0,0.0056314,104.3251,-0.0065812
0,0.0058607,103.86811,-0.0072692
0,0.005899,102.54282,-0.0079573
0,0.0060136,99.84656,-0.0086453
0,0.0062048,96.14491,-0.0092187
0,0.0063194,92.58035,-0.0096774
0,0.0065488,89.0158,-0.0100787
0,0.0066634,85.99964,-0.0104227
0,0.0067781,82.25229,-0.0107667
0,0.0068928,78.59633,-0.0111108
0,0.0070075,75.12318,-0.0114548
0,0.0071795,72.15272,-0.0118561
0,0.0075808,68.86236,-0.0123148
0,0.0079248,65.572,-0.0127735
0,0.0082689,62.14454,-0.0131749
0,0.0086702,58.30579,-0.0135189
0,0.0090716,54.46704,-0.0138629
0,0.0094156,50.44549,-0.0142069
0,0.0098743,46.07663,-0.0146656
0,0.0104476,44.27607,-0.0152963
0,0.0109063,42.67659,-0.0159843
0,0.0111586,41.16851,-0.0166724
0,0.0112733,39.66043,-0.0173604
0,0.0119957,38.06095,-0.0180484
0,0.0126837,36.64427,-0.0187365
0,0.0133718,35.04479,-0.0194245
0,0.0140598,33.62811,-0.0201125
0,0.0147478,31.98293,-0.0208006
0,0.0154359,30.79475,-0.0214886
0,0.0161239,29.69796,-0.0221766
0,0.0168119,28.60118,-0.0228647
0,0.017328,27.68719,-0.0235527
5,0.0000125,6.60196,-0.0001022
5,0.0000288,15.9612,-0.0001022
5,0.0000634,12.67085,-0.0001022
5,0.0002291,9.38049,-0.0001022
5,0.0003401,22.72472,-0.0001596
5,0.0005285,19.43436,-0.0001596
5,0.0008152,43.01525,-0.0002742
5,0.0009107,39.7249,-0.0002742
5,0.0009298,36.43454,-0.0002742
5,0.0010445,33.14418,-0.0002742
5,0.0011592,29.85382,-0.0002742
5,0.0012739,26.56347,-0.0002742
5,0.0013885,49.96157,-0.0003316
5,0.0015851,46.30561,-0.0003602
5,0.0016943,84.58344,-0.0003774
5,0.0017784,80.85437,-0.0003889
5,0.0019291,77.56401,-0.0003889
5,0.0020078,74.4793,-0.0003889
5,0.0021585,60.28963,-0.0003889
5,0.0022677,56.99927,-0.0003889
5,0.0023878,53.70892,-0.0003889
5,0.0025639,89.08026,-0.0004462
5,0.0026499,70.8005,-0.0004462
5,0.0028219,67.51014,-0.0004462
5,0.0030169,63.92274,-0.0004749
5,0.0032233,92.73622,-0.0005227
5,0.0034717,95.93517,-0.0006182
5,0.0037966,99.01988,-0.0007042
5,0.0039686,103.40703,-0.0008189
5,0.0044159,107.54282,-0.0009049
5,0.0044847,111.83857,-0.0010769
5,0.004886,114.99183,-0.0011916
5,0.004886,119.05908,-0.0013254
5,0.0051154,122.89783,-0.0015165
5,0.0052874,127.53632,-0.0017076
5,0.0055167,131.99201,-0.001937
5,0.0056887,135.96786,-0.0021281
